Security	Security_Type	TNT_Security	Asset_Desc	Offer_Type	Offeror	TNT_Deadline	Custodian_Deadline	Expiration_Date	Payment_Date	Record_Date	Ex_Date	Custodian_Swing	Effective_Date	Redemption_Date	Put_Date	Due_Bill_Date	Protect_End_Date	Rights_Expiration_Date	Processor	Depot	Reg	Issue_Action_Id	Account	Account_Name	PGC	Net	Settled	Aquired	Disposed	Decision	Approve	Desc_Exec	Opt	Option_Desc	SI	Bid_Price	Bid_Qty	Export_Datetime	Unique_ID	Redemtion	Flag	Ancmt	Msg	Date Sent	Max_Eligibility	Man_Vol	Cdr_Msg	opt_dflt	
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_31	710646	ACCOUNT_NAME	PGC 5	21	21	0	0	 	 	 	1	ELECT THE STOCK OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_32	710646	ACCOUNT_NAME	PGC 5	21	21	0	0	 	 	 	2	ELECT THE CASH OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_33	710646	ACCOUNT_NAME	PGC 5	21	21	0	0	21	21	0	3	ELECT THE CASH & STOCK OPTION		0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	1	B-WOOLF
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_34	712662	ACCOUNT_NAME	PGC 5	11	11	0	0	 	 	 	1	ELECT THE STOCK OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_35	712662	ACCOUNT_NAME	PGC 5	11	11	0	0	 	 	 	2	ELECT THE CASH OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_36	712662	ACCOUNT_NAME	PGC 5	11	11	0	0	11	11	0	3	ELECT THE CASH & STOCK OPTION		0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	1	B-WOOLF
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_37	713412	ACCOUNT_NAME	PGC 5	48	48	0	0	 	 	 	1	ELECT THE STOCK OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_38	713412	ACCOUNT_NAME	PGC 5	48	48	0	0	 	 	 	2	ELECT THE CASH OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_39	713412	ACCOUNT_NAME	PGC 5	48	48	0	0	48	48	0	3	ELECT THE CASH & STOCK OPTION		0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	1	B-WOOLF
CUSIP/ISIN	CU	US12345	#REORG/COMPANY B MERGER                                          	Merger Cash & Stock	 	3/12/2020 0:00	3/14/2020 17:00	3/14/2020 0:00	 	 	 	 	 	 	 	 	3/18/2020 0:00		SP923	1	2	Action_Id_40	1003032	ACCOUNT_NAME	PGC 5	41	41	0	0	 	 	 	1	ELECT THE STOCK OPTION	 	0	0	3/28/2020 15:02	81029763	 	0	Y	2	3/20/2020 10:13	0	Y	1565127	0	 
